case_name,test_group,mode,pattern,target_metric,sweep_axis,repeat_id,x_flag,xfer_label,gpu_id,threads,dataset,io_size,throughput_gib_s,avg_latency_us,iops,ops,total_time_s,exit_code,case_dir,xfer_match,prepared_dataset
thread_sweep_throughput__write__x2__th4__io1M__rep1,thread_sweep_throughput,write,seq,throughput,threads,1,2,CPU_GPU,0,4,1G,1M,2.060514,1895.410259,2109.966657,20285,9.613896,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/thread_sweep_throughput__write__x2__th4__io1M__rep1,1,1
thread_sweep_throughput__write__x2__th8__io1M__rep1,thread_sweep_throughput,write,seq,throughput,threads,1,2,CPU_GPU,0,8,1G,1M,3.811662,2049.278213,3903.141709,37495,9.606364,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/thread_sweep_throughput__write__x2__th8__io1M__rep1,1,1
thread_sweep_throughput__write__x2__th16__io1M__rep1,thread_sweep_throughput,write,seq,throughput,threads,1,2,CPU_GPU,0,16,1G,1M,1.892088,8254.214777,1937.497710,18929,9.769818,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/thread_sweep_throughput__write__x2__th16__io1M__rep1,1,1
thread_sweep_throughput__write__x2__th32__io1M__rep1,thread_sweep_throughput,write,seq,throughput,threads,1,2,CPU_GPU,0,32,1G,1M,5.630359,5549.830451,5765.487465,54722,9.491305,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/thread_sweep_throughput__write__x2__th32__io1M__rep1,1,1
thread_sweep_iops__write__x2__th1__io4K__rep1,thread_sweep_iops,write,rand,iops_latency,threads,1,2,CPU_GPU,0,1,1G,4K,0.320674,11.895771,84062.754981,809371,9.628176,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/thread_sweep_iops__write__x2__th1__io4K__rep1,1,1
thread_sweep_iops__write__x2__th2__io4K__rep1,thread_sweep_iops,write,rand,iops_latency,threads,1,2,CPU_GPU,0,2,1G,4K,0.555087,13.744346,145512.615103,1404540,9.652359,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/thread_sweep_iops__write__x2__th2__io4K__rep1,1,1
thread_sweep_iops__write__x2__th4__io4K__rep1,thread_sweep_iops,write,rand,iops_latency,threads,1,2,CPU_GPU,0,4,1G,4K,0.434817,35.097272,113984.578968,1103699,9.682880,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/thread_sweep_iops__write__x2__th4__io4K__rep1,1,1
thread_sweep_iops__write__x2__th8__io4K__rep1,thread_sweep_iops,write,rand,iops_latency,threads,1,2,CPU_GPU,0,8,1G,4K,1.428589,21.363479,374496.147414,3579287,9.557607,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/thread_sweep_iops__write__x2__th8__io4K__rep1,1,1
thread_sweep_iops__write__x2__th16__io4K__rep1,thread_sweep_iops,write,rand,iops_latency,threads,1,2,CPU_GPU,0,16,1G,4K,1.646503,37.074261,431620.958707,4120381,9.546295,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/thread_sweep_iops__write__x2__th16__io4K__rep1,1,1
thread_sweep_iops__write__x2__th32__io4K__rep1,thread_sweep_iops,write,rand,iops_latency,threads,1,2,CPU_GPU,0,32,1G,4K,1.679775,72.671042,440342.983032,4207833,9.555808,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/thread_sweep_iops__write__x2__th32__io4K__rep1,1,1
io_size_sweep_throughput__read__x0__th8__io128K__rep2,io_size_sweep_throughput,read,seq,throughput,io_size,2,0,GPUD,0,8,1G,128K,2.200142,443.833711,18023.564090,163602,9.077117,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/io_size_sweep_throughput__read__x0__th8__io128K__rep2,1,1
io_size_sweep_throughput__read__x0__th8__io256K__rep2,io_size_sweep_throughput,read,seq,throughput,io_size,2,0,GPUD,0,8,1G,256K,4.637377,421.130623,18994.695208,172692,9.091591,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/io_size_sweep_throughput__read__x0__th8__io256K__rep2,1,1
io_size_sweep_throughput__read__x0__th8__io512K__rep2,io_size_sweep_throughput,read,seq,throughput,io_size,2,0,GPUD,0,8,1G,512K,6.459253,604.714245,13228.550817,120309,9.094647,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/io_size_sweep_throughput__read__x0__th8__io512K__rep2,1,1
io_size_sweep_throughput__read__x0__th8__io1M__rep2,io_size_sweep_throughput,read,seq,throughput,io_size,2,0,GPUD,0,8,1G,1M,6.828706,1143.989711,6992.594526,69235,9.901189,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/io_size_sweep_throughput__read__x0__th8__io1M__rep2,1,1
io_size_sweep_throughput__read__x0__th8__io2M__rep2,io_size_sweep_throughput,read,seq,throughput,io_size,2,0,GPUD,0,8,1G,2M,6.854830,2279.167034,3509.672878,31793,9.058679,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/io_size_sweep_throughput__read__x0__th8__io2M__rep2,1,1
io_size_sweep_throughput__read__x0__th8__io4M__rep2,io_size_sweep_throughput,read,seq,throughput,io_size,2,0,GPUD,0,8,1G,4M,6.855022,4557.841447,1754.885660,16888,9.623419,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/io_size_sweep_throughput__read__x0__th8__io4M__rep2,1,1
io_size_sweep_iops__read__x0__th32__io4K__rep2,io_size_sweep_iops,read,rand,iops_latency,io_size,2,0,GPUD,0,32,1G,4K,0.064809,1883.533617,16989.238633,195754,11.522235,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/io_size_sweep_iops__read__x0__th32__io4K__rep2,1,1
io_size_sweep_iops__read__x0__th32__io8K__rep2,io_size_sweep_iops,read,rand,iops_latency,io_size,2,0,GPUD,0,32,1G,8K,0.130110,1876.354063,17053.805154,169110,9.916262,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/io_size_sweep_iops__read__x0__th32__io8K__rep2,1,1
io_size_sweep_iops__read__x0__th32__io16K__rep2,io_size_sweep_iops,read,rand,iops_latency,io_size,2,0,GPUD,0,32,1G,16K,0.264506,1846.489741,17334.641985,175768,10.139696,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/io_size_sweep_iops__read__x0__th32__io16K__rep2,1,1
io_size_sweep_iops__read__x0__th32__io32K__rep2,io_size_sweep_iops,read,rand,iops_latency,io_size,2,0,GPUD,0,32,1G,32K,0.533289,1831.520215,17474.826882,170473,9.755347,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/io_size_sweep_iops__read__x0__th32__io32K__rep2,1,1
io_size_sweep_iops__read__x0__th32__io64K__rep2,io_size_sweep_iops,read,rand,iops_latency,io_size,2,0,GPUD,0,32,1G,64K,1.118287,1745.746805,18322.017881,176002,9.606038,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/io_size_sweep_iops__read__x0__th32__io64K__rep2,1,1
io_size_sweep_iops__read__x0__th32__io128K__rep2,io_size_sweep_iops,read,rand,iops_latency,io_size,2,0,GPUD,0,32,1G,128K,2.226277,1753.987725,18237.659860,179984,9.868810,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/io_size_sweep_iops__read__x0__th32__io128K__rep2,1,1
thread_sweep_throughput__read__x0__th1__io1M__rep2,thread_sweep_throughput,read,seq,throughput,threads,2,0,GPUD,0,1,1G,1M,3.260962,299.456774,3339.225369,32064,9.602227,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/thread_sweep_throughput__read__x0__th1__io1M__rep2,1,1
thread_sweep_throughput__read__x0__th2__io1M__rep2,thread_sweep_throughput,read,seq,throughput,threads,2,0,GPUD,0,2,1G,1M,5.198154,375.712311,5322.909592,50398,9.468130,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/thread_sweep_throughput__read__x0__th2__io1M__rep2,1,1
thread_sweep_throughput__read__x0__th4__io1M__rep2,thread_sweep_throughput,read,seq,throughput,threads,2,0,GPUD,0,4,1G,1M,6.484216,602.378587,6639.837093,62641,9.434117,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/thread_sweep_throughput__read__x0__th4__io1M__rep2,1,1
thread_sweep_throughput__read__x0__th8__io1M__rep2,thread_sweep_throughput,read,seq,throughput,threads,2,0,GPUD,0,8,1G,1M,6.817449,1145.858695,6981.067892,65260,9.348140,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/thread_sweep_throughput__read__x0__th8__io1M__rep2,1,1
thread_sweep_throughput__read__x0__th16__io1M__rep2,thread_sweep_throughput,read,seq,throughput,threads,2,0,GPUD,0,16,1G,1M,6.811299,2293.423154,6974.769707,69113,9.909001,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/thread_sweep_throughput__read__x0__th16__io1M__rep2,1,1
thread_sweep_throughput__read__x0__th32__io1M__rep2,thread_sweep_throughput,read,seq,throughput,threads,2,0,GPUD,0,32,1G,1M,6.947169,4588.422067,7113.901520,69974,9.836234,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/thread_sweep_throughput__read__x0__th32__io1M__rep2,1,1
thread_sweep_iops__read__x0__th1__io4K__rep2,thread_sweep_iops,read,rand,iops_latency,threads,2,0,GPUD,0,1,1G,4K,0.040355,94.524240,10578.896227,98310,9.293030,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/thread_sweep_iops__read__x0__th1__io4K__rep2,1,1
thread_sweep_iops__read__x0__th2__io4K__rep2,thread_sweep_iops,read,rand,iops_latency,threads,2,0,GPUD,0,2,1G,4K,0.074015,103.077942,19402.470194,184199,9.493585,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/thread_sweep_iops__read__x0__th2__io4K__rep2,1,1
thread_sweep_iops__read__x0__th4__io4K__rep2,thread_sweep_iops,read,rand,iops_latency,threads,2,0,GPUD,0,4,1G,4K,0.070740,215.744569,18543.950027,179930,9.702895,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/thread_sweep_iops__read__x0__th4__io4K__rep2,1,1
thread_sweep_iops__read__x0__th8__io4K__rep2,thread_sweep_iops,read,rand,iops_latency,threads,2,0,GPUD,0,8,1G,4K,0.064889,470.745994,17010.357768,160211,9.418438,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/thread_sweep_iops__read__x0__th8__io4K__rep2,1,1
thread_sweep_iops__read__x0__th16__io4K__rep2,thread_sweep_iops,read,rand,iops_latency,threads,2,0,GPUD,0,16,1G,4K,0.064514,946.148178,16912.027357,197998,11.707526,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/thread_sweep_iops__read__x0__th16__io4K__rep2,1,1
thread_sweep_iops__read__x0__th32__io4K__rep2,thread_sweep_iops,read,rand,iops_latency,threads,2,0,GPUD,0,32,1G,4K,0.063538,1920.594979,16656.131448,200681,12.048476,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/thread_sweep_iops__read__x0__th32__io4K__rep2,1,1
io_size_sweep_throughput__write__x0__th8__io128K__rep2,io_size_sweep_throughput,write,seq,throughput,io_size,2,0,GPUD,0,8,1G,128K,2.588667,377.238247,21206.358547,193733,9.135609,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/io_size_sweep_throughput__write__x0__th8__io128K__rep2,1,1
io_size_sweep_throughput__write__x0__th8__io256K__rep2,io_size_sweep_throughput,write,seq,throughput,io_size,2,0,GPUD,0,8,1G,256K,5.368572,363.784891,21989.669253,198361,9.020645,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/io_size_sweep_throughput__write__x0__th8__io256K__rep2,1,1
io_size_sweep_throughput__write__x0__th8__io512K__rep2,io_size_sweep_throughput,write,seq,throughput,io_size,2,0,GPUD,0,8,1G,512K,5.577664,700.287556,11423.055070,103680,9.076381,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/io_size_sweep_throughput__write__x0__th8__io512K__rep2,1,1
io_size_sweep_throughput__write__x0__th8__io1M__rep2,io_size_sweep_throughput,write,seq,throughput,io_size,2,0,GPUD,0,8,1G,1M,5.631362,1387.253238,5766.514445,52342,9.076887,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/io_size_sweep_throughput__write__x0__th8__io1M__rep2,1,1
io_size_sweep_throughput__write__x0__th8__io2M__rep2,io_size_sweep_throughput,write,seq,throughput,io_size,2,0,GPUD,0,8,1G,2M,5.635517,2772.438736,2885.384873,28855,10.000399,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/io_size_sweep_throughput__write__x0__th8__io2M__rep2,1,1
io_size_sweep_throughput__write__x0__th8__io4M__rep2,io_size_sweep_throughput,write,seq,throughput,io_size,2,0,GPUD,0,8,1G,4M,5.639957,5540.127749,1443.829010,14267,9.881364,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/io_size_sweep_throughput__write__x0__th8__io4M__rep2,1,1
io_size_sweep_iops__write__x0__th32__io4K__rep2,io_size_sweep_iops,write,rand,iops_latency,io_size,2,0,GPUD,0,32,1G,4K,0.075717,1612.305398,19848.853924,194512,9.799659,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/io_size_sweep_iops__write__x0__th32__io4K__rep2,1,1
io_size_sweep_iops__write__x0__th32__io8K__rep2,io_size_sweep_iops,write,rand,iops_latency,io_size,2,0,GPUD,0,32,1G,8K,0.153055,1595.489077,20061.196808,221596,11.046001,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/io_size_sweep_iops__write__x0__th32__io8K__rep2,1,1
io_size_sweep_iops__write__x0__th32__io16K__rep2,io_size_sweep_iops,write,rand,iops_latency,io_size,2,0,GPUD,0,32,1G,16K,0.315852,1546.527575,20699.681516,190193,9.188209,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/io_size_sweep_iops__write__x0__th32__io16K__rep2,1,1
io_size_sweep_iops__write__x0__th32__io32K__rep2,io_size_sweep_iops,write,rand,iops_latency,io_size,2,0,GPUD,0,32,1G,32K,0.648919,1505.652183,21263.763474,211292,9.936717,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/io_size_sweep_iops__write__x0__th32__io32K__rep2,1,1
io_size_sweep_iops__write__x0__th32__io64K__rep2,io_size_sweep_iops,write,rand,iops_latency,io_size,2,0,GPUD,0,32,1G,64K,1.354649,1441.486002,22194.565400,217388,9.794650,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/io_size_sweep_iops__write__x0__th32__io64K__rep2,1,1
io_size_sweep_iops__write__x0__th32__io128K__rep2,io_size_sweep_iops,write,rand,iops_latency,io_size,2,0,GPUD,0,32,1G,128K,2.083489,1874.171615,17067.938121,171533,10.050013,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/io_size_sweep_iops__write__x0__th32__io128K__rep2,1,1
thread_sweep_throughput__write__x0__th1__io1M__rep2,thread_sweep_throughput,write,seq,throughput,threads,2,0,GPUD,0,1,1G,1M,3.537642,276.030060,3622.545172,34464,9.513753,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/thread_sweep_throughput__write__x0__th1__io1M__rep2,1,1
thread_sweep_throughput__write__x0__th2__io1M__rep2,thread_sweep_throughput,write,seq,throughput,threads,2,0,GPUD,0,2,1G,1M,5.278705,369.959741,5405.393984,51164,9.465360,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/thread_sweep_throughput__write__x0__th2__io1M__rep2,1,1
thread_sweep_throughput__write__x0__th4__io1M__rep2,thread_sweep_throughput,write,seq,throughput,threads,2,0,GPUD,0,4,1G,1M,5.651433,691.165049,5787.067254,54972,9.499112,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/thread_sweep_throughput__write__x0__th4__io1M__rep2,1,1
thread_sweep_throughput__write__x0__th8__io1M__rep2,thread_sweep_throughput,write,seq,throughput,threads,2,0,GPUD,0,8,1G,1M,5.643956,1384.119300,5779.411136,52341,9.056459,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/thread_sweep_throughput__write__x0__th8__io1M__rep2,1,1
thread_sweep_throughput__write__x0__th16__io1M__rep2,thread_sweep_throughput,write,seq,throughput,threads,2,0,GPUD,0,16,1G,1M,3.931998,3973.204484,4026.365488,37606,9.339937,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/thread_sweep_throughput__write__x0__th16__io1M__rep2,1,1
thread_sweep_throughput__write__x0__th32__io1M__rep2,thread_sweep_throughput,write,seq,throughput,threads,2,0,GPUD,0,32,1G,1M,3.276928,9535.026556,3355.573906,33232,9.903522,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/thread_sweep_throughput__write__x0__th32__io1M__rep2,1,1
thread_sweep_iops__write__x0__th1__io4K__rep2,thread_sweep_iops,write,rand,iops_latency,threads,2,0,GPUD,0,1,1G,4K,0.114278,33.379623,29957.374008,271975,9.078733,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/thread_sweep_iops__write__x0__th1__io4K__rep2,1,1
thread_sweep_iops__write__x0__th2__io4K__rep2,thread_sweep_iops,write,rand,iops_latency,threads,2,0,GPUD,0,2,1G,4K,0.103933,73.407114,27245.495402,260694,9.568334,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/thread_sweep_iops__write__x0__th2__io4K__rep2,1,1
thread_sweep_iops__write__x0__th4__io4K__rep2,thread_sweep_iops,write,rand,iops_latency,threads,2,0,GPUD,0,4,1G,4K,0.078426,195.092234,20558.790983,193996,9.436158,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/thread_sweep_iops__write__x0__th4__io4K__rep2,1,1
thread_sweep_iops__write__x0__th8__io4K__rep2,thread_sweep_iops,write,rand,iops_latency,threads,2,0,GPUD,0,8,1G,4K,0.074667,409.190284,19573.504377,179252,9.157890,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/thread_sweep_iops__write__x0__th8__io4K__rep2,1,1
thread_sweep_iops__write__x0__th16__io4K__rep2,thread_sweep_iops,write,rand,iops_latency,threads,2,0,GPUD,0,16,1G,4K,0.075675,807.206384,19837.781465,191321,9.644274,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/thread_sweep_iops__write__x0__th16__io4K__rep2,1,1
thread_sweep_iops__write__x0__th32__io4K__rep2,thread_sweep_iops,write,rand,iops_latency,threads,2,0,GPUD,0,32,1G,4K,0.076337,1599.035295,20011.179676,200046,9.996712,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/thread_sweep_iops__write__x0__th32__io4K__rep2,1,1
io_size_sweep_throughput__read__x2__th8__io128K__rep2,io_size_sweep_throughput,read,seq,throughput,io_size,2,2,CPU_GPU,0,8,1G,128K,4.414505,221.206453,36163.626121,341903,9.454334,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/io_size_sweep_throughput__read__x2__th8__io128K__rep2,1,1
io_size_sweep_throughput__read__x2__th8__io256K__rep2,io_size_sweep_throughput,read,seq,throughput,io_size,2,2,CPU_GPU,0,8,1G,256K,5.810532,336.119567,23799.937480,228408,9.597000,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/io_size_sweep_throughput__read__x2__th8__io256K__rep2,1,1
io_size_sweep_throughput__read__x2__th8__io512K__rep2,io_size_sweep_throughput,read,seq,throughput,io_size,2,2,CPU_GPU,0,8,1G,512K,6.556032,595.791365,13426.753696,128817,9.594054,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/io_size_sweep_throughput__read__x2__th8__io512K__rep2,1,1
io_size_sweep_throughput__read__x2__th8__io1M__rep2,io_size_sweep_throughput,read,seq,throughput,io_size,2,2,CPU_GPU,0,8,1G,1M,6.893646,1133.223757,7059.093121,67833,9.609308,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/io_size_sweep_throughput__read__x2__th8__io1M__rep2,1,1
io_size_sweep_throughput__read__x2__th8__io2M__rep2,io_size_sweep_throughput,read,seq,throughput,io_size,2,2,CPU_GPU,0,8,1G,2M,6.859006,2277.762751,3511.811263,33719,9.601598,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/io_size_sweep_throughput__read__x2__th8__io2M__rep2,1,1
io_size_sweep_throughput__read__x2__th8__io4M__rep2,io_size_sweep_throughput,read,seq,throughput,io_size,2,2,CPU_GPU,0,8,1G,4M,6.850044,4575.149074,1753.611318,16724,9.536891,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/io_size_sweep_throughput__read__x2__th8__io4M__rep2,1,1
io_size_sweep_iops__read__x2__th32__io4K__rep2,io_size_sweep_iops,read,rand,iops_latency,io_size,2,2,CPU_GPU,0,32,1G,4K,1.231044,99.159532,322710.760877,3066306,9.501716,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/io_size_sweep_iops__read__x2__th32__io4K__rep2,1,1
io_size_sweep_iops__read__x2__th32__io8K__rep2,io_size_sweep_iops,read,rand,iops_latency,io_size,2,2,CPU_GPU,0,32,1G,8K,1.994932,122.383059,261479.786781,2446510,9.356402,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/io_size_sweep_iops__read__x2__th32__io8K__rep2,1,1
io_size_sweep_iops__read__x2__th32__io16K__rep2,io_size_sweep_iops,read,rand,iops_latency,io_size,2,2,CPU_GPU,0,32,1G,16K,2.943076,165.905037,192877.404121,1824551,9.459641,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/io_size_sweep_iops__read__x2__th32__io16K__rep2,1,1
io_size_sweep_iops__read__x2__th32__io32K__rep2,io_size_sweep_iops,read,rand,iops_latency,io_size,2,2,CPU_GPU,0,32,1G,32K,4.138093,235.991094,135597.015098,1288800,9.504634,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/io_size_sweep_iops__read__x2__th32__io32K__rep2,1,1
io_size_sweep_iops__read__x2__th32__io64K__rep2,io_size_sweep_iops,read,rand,iops_latency,io_size,2,2,CPU_GPU,0,32,1G,64K,5.479902,356.408384,89782.719317,857495,9.550780,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/io_size_sweep_iops__read__x2__th32__io64K__rep2,1,1
io_size_sweep_iops__read__x2__th32__io128K__rep2,io_size_sweep_iops,read,rand,iops_latency,io_size,2,2,CPU_GPU,0,32,1G,128K,6.383848,611.879489,52296.479064,500377,9.568082,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/io_size_sweep_iops__read__x2__th32__io128K__rep2,1,1
thread_sweep_throughput__read__x2__th1__io1M__rep2,thread_sweep_throughput,read,seq,throughput,threads,2,2,CPU_GPU,0,1,1G,1M,3.032643,322.005301,3105.426349,29808,9.598682,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/thread_sweep_throughput__read__x2__th1__io1M__rep2,1,1
thread_sweep_throughput__read__x2__th2__io1M__rep2,thread_sweep_throughput,read,seq,throughput,threads,2,2,CPU_GPU,0,2,1G,1M,5.156096,378.780597,5279.842017,50815,9.624341,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/thread_sweep_throughput__read__x2__th2__io1M__rep2,1,1
thread_sweep_throughput__read__x2__th4__io1M__rep2,thread_sweep_throughput,read,seq,throughput,threads,2,2,CPU_GPU,0,4,1G,1M,6.475686,603.182509,6631.102802,63548,9.583323,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/thread_sweep_throughput__read__x2__th4__io1M__rep2,1,1
thread_sweep_throughput__read__x2__th8__io1M__rep2,thread_sweep_throughput,read,seq,throughput,threads,2,2,CPU_GPU,0,8,1G,1M,6.893457,1133.243910,7058.899924,67833,9.609571,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/thread_sweep_throughput__read__x2__th8__io1M__rep2,1,1
thread_sweep_throughput__read__x2__th16__io1M__rep2,thread_sweep_throughput,read,seq,throughput,threads,2,2,CPU_GPU,0,16,1G,1M,6.873712,2272.960278,7038.681126,67559,9.598247,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/thread_sweep_throughput__read__x2__th16__io1M__rep2,1,1
thread_sweep_throughput__read__x2__th32__io1M__rep2,thread_sweep_throughput,read,seq,throughput,threads,2,2,CPU_GPU,0,32,1G,1M,7.006498,4605.541097,7174.654092,68530,9.551680,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/thread_sweep_throughput__read__x2__th32__io1M__rep2,1,1
thread_sweep_iops__read__x2__th1__io4K__rep2,thread_sweep_iops,read,rand,iops_latency,threads,2,2,CPU_GPU,0,1,1G,4K,0.055797,68.365940,14626.932818,140911,9.633667,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/thread_sweep_iops__read__x2__th1__io4K__rep2,1,1
thread_sweep_iops__read__x2__th2__io4K__rep2,thread_sweep_iops,read,rand,iops_latency,threads,2,2,CPU_GPU,0,2,1G,4K,0.111320,68.534669,29181.863235,281819,9.657334,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/thread_sweep_iops__read__x2__th2__io4K__rep2,1,1
thread_sweep_iops__read__x2__th4__io4K__rep2,thread_sweep_iops,read,rand,iops_latency,threads,2,2,CPU_GPU,0,4,1G,4K,0.214706,71.067399,56283.871361,535637,9.516705,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/thread_sweep_iops__read__x2__th4__io4K__rep2,1,1
thread_sweep_iops__read__x2__th8__io4K__rep2,thread_sweep_iops,read,rand,iops_latency,threads,2,2,CPU_GPU,0,8,1G,4K,0.401333,76.039903,105207.062475,993325,9.441619,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/thread_sweep_iops__read__x2__th8__io4K__rep2,1,1
thread_sweep_iops__read__x2__th16__io4K__rep2,thread_sweep_iops,read,rand,iops_latency,threads,2,2,CPU_GPU,0,16,1G,4K,0.734141,83.140505,192450.632791,1839865,9.560192,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/thread_sweep_iops__read__x2__th16__io4K__rep2,1,1
thread_sweep_iops__read__x2__th32__io4K__rep2,thread_sweep_iops,read,rand,iops_latency,threads,2,2,CPU_GPU,0,32,1G,4K,1.230148,99.229972,322475.854077,3039798,9.426436,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/thread_sweep_iops__read__x2__th32__io4K__rep2,1,1
io_size_sweep_throughput__write__x2__th8__io128K__rep2,io_size_sweep_throughput,write,seq,throughput,io_size,2,2,CPU_GPU,0,8,1G,128K,4.556983,214.293685,37330.802438,361435,9.681951,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/io_size_sweep_throughput__write__x2__th8__io128K__rep2,1,1
io_size_sweep_throughput__write__x2__th8__io256K__rep2,io_size_sweep_throughput,write,seq,throughput,io_size,2,2,CPU_GPU,0,8,1G,256K,5.623082,347.334771,23032.145053,221172,9.602753,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/io_size_sweep_throughput__write__x2__th8__io256K__rep2,1,1
io_size_sweep_throughput__write__x2__th8__io512K__rep2,io_size_sweep_throughput,write,seq,throughput,io_size,2,2,CPU_GPU,0,8,1G,512K,5.659782,690.160170,11591.234378,111607,9.628569,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/io_size_sweep_throughput__write__x2__th8__io512K__rep2,1,1
io_size_sweep_throughput__write__x2__th8__io1M__rep2,io_size_sweep_throughput,write,seq,throughput,io_size,2,2,CPU_GPU,0,8,1G,1M,5.628243,1388.038331,5763.321017,55417,9.615463,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/io_size_sweep_throughput__write__x2__th8__io1M__rep2,1,1
io_size_sweep_throughput__write__x2__th8__io2M__rep2,io_size_sweep_throughput,write,seq,throughput,io_size,2,2,CPU_GPU,0,8,1G,2M,5.614152,2783.002706,2874.446068,27572,9.592109,0,/home/poc/gds_bench/results/methodology_full_20260424_131442/cases/io_size_sweep_throughput__write__x2__th8__io2M__rep2,1,1
